token1,similarity,token2
sedan,9,sedan
sedan,1,dragon
sedan,2,rhinoceros
sedan,1,sun
sedan,1,butterfly
sedan,2,teddy_bear
sedan,2,kangaroo
sedan,1,seal
sedan,2,zebra
sedan,1,spoon
sedan,2,sea_turtle
sedan,2,dog
sedan,1,volcano
sedan,2,tree
sedan,1,cup
sedan,1,palm_tree
sedan,1,bell
sedan,1,microscope
sedan,2,t_shirt
sedan,2,wheelchair
sedan,2,rabbit
sedan,2,radio
sedan,1,church
sedan,1,frying_pan
sedan,2,cat
sedan,1,sponge_bob
sedan,1,songbird
sedan,1,hedgehog
sedan,1,sheep
sedan,1,bench
sedan,2,turtle
sedan,1,apple
sedan,1,satellite
sedan,3,beetle
sedan,1,mouse
sedan,1,shark
sedan,1,swan
sedan,1,crab
sedan,2,ship
sedan,2,walkie_talkie
sedan,1,flower
sedan,2,banana
sedan,2,submarine
sedan,1,scissors
sedan,1,starfish
sedan,1,eyeglasses
sedan,2,knife
sedan,2,cell_phone
sedan,1,wine_bottle
sedan,1,jack_o_lantern
sedan,1,octopus
sedan,3,speed_boat
sedan,3,bulldozer
sedan,2,bear
sedan,1,lobster
sedan,2,basket
sedan,2,window
sedan,3,cabin
sedan,2,parachute
sedan,4,motorcycle
sedan,3,pistol
sedan,2,standing_bird
sedan,2,tiger
sedan,1,flying_bird
sedan,2,saw
sedan,1,penguin
sedan,1,monkey
sedan,1,castle
sedan,1,candle
sedan,2,blimp
sedan,2,seagull
sedan,5,race_car
sedan,2,snail
sedan,3,bus
sedan,6,suv
sedan,1,trombone
sedan,1,armor
sedan,2,elephant
sedan,0,ray
sedan,5,truck
sedan,1,trumpet
sedan,2,cow
sedan,2,shoe
sedan,1,key
sedan,3,train
sedan,1,teapot
sedan,2,raccoon
sedan,4,tractor
sedan,2,skyscraper
sedan,1,cannon
sedan,1,fish
sedan,2,rocket
sedan,1,frog
sedan,1,hat
sedan,1,computer_monitor
sedan,2,flying_saucer
sedan,2,ice_cream_cone
sedan,2,giraffe
sedan,2,pretzel
sedan,2,camel
sedan,1,violin
sedan,2,person_sitting
sedan,1,table
sedan,1,hourglass
sedan,2,hotdog
sedan,1,parrot
sedan,2,fan
sedan,2,umbrella
sedan,1,mushroom
sedan,1,dinosaur
sedan,3,tank
sedan,1,potted_plant
sedan,3,tent
sedan,2,rifle
sedan,1,sword
sedan,1,alarm_clock
sedan,0,cloud
sedan,1,pizza
sedan,2,guitar
sedan,1,harp
sedan,1,bee
sedan,1,toilet
sedan,1,ape
sedan,3,sailboat
sedan,3,space_shuttle
sedan,2,windmill
sedan,1,ant
sedan,1,rooster
sedan,1,rainbow
sedan,1,geyser
sedan,2,person
sedan,2,walking
sedan,2,chair
sedan,2,door
sedan,2,panda
sedan,2,bridge
sedan,1,dolphin
sedan,1,spider
sedan,1,megaphone
sedan,1,owl
sedan,1,cactus
sedan,1,bat
sedan,2,wading_bird
sedan,2,screwdriver
sedan,2,hamburger
sedan,3,airplane
sedan,1,chicken
sedan,1,tv
sedan,0,brain
sedan,1,pear
sedan,2,pig
sedan,2,backpack
sedan,1,jellyfish
sedan,1,piano
sedan,1,telephone
sedan,4,bicycle
sedan,1,keyboard
sedan,1,lizard
sedan,2,laptop
sedan,1,hammer
sedan,2,squirrel
sedan,1,duck
sedan,1,couch
sedan,2,satellite_dish
sedan,2,crocodilian
sedan,2,bush
sedan,5,pickup_truck
sedan,2,racket
sedan,3,horse
sedan,2,house
sedan,1,moon
sedan,2,computer_mouse
sedan,1,tomato
sedan,1,bread
sedan,1,carrot
sedan,2,helicopter
sedan,2,deer
sedan,1,lion
sedan,1,axe
sedan,2,scorpion
sedan,1,pineapple
sedan,2,hot_air_balloon
sedan,1,snake
sedan,1,microphone
sedan,1,strawberry
sedan,1,saxophone
sedan,2,hermit_crab
dragon,1,sedan
dragon,10,dragon
dragon,5,rhinoceros
dragon,4,sun
dragon,5,butterfly
dragon,4,teddy_bear
dragon,4,kangaroo
dragon,4,seal
dragon,5,zebra
dragon,3,spoon
dragon,5,sea_turtle
dragon,4,dog
dragon,5,volcano
dragon,5,tree
dragon,2,cup
dragon,4,palm_tree
dragon,3,bell
dragon,2,microscope
dragon,2,t_shirt
dragon,2,wheelchair
dragon,5,rabbit
dragon,0,radio
dragon,1,church
dragon,2,frying_pan
dragon,4,cat
dragon,3,sponge_bob
dragon,5,songbird
dragon,5,hedgehog
dragon,5,sheep
dragon,1,bench
dragon,6,turtle
dragon,3,apple
dragon,1,satellite
dragon,6,beetle
dragon,3,mouse
dragon,5,shark
dragon,6,swan
dragon,6,crab
dragon,3,ship
dragon,2,walkie_talkie
dragon,5,flower
dragon,3,banana
dragon,3,submarine
dragon,2,scissors
dragon,5,starfish
dragon,1,eyeglasses
dragon,3,knife
dragon,1,cell_phone
dragon,2,wine_bottle
dragon,6,jack_o_lantern
dragon,5,octopus
dragon,3,speed_boat
dragon,3,bulldozer
dragon,6,bear
dragon,4,lobster
dragon,3,basket
dragon,3,window
dragon,3,cabin
dragon,2,parachute
dragon,2,motorcycle
dragon,2,pistol
dragon,5,standing_bird
dragon,6,tiger
dragon,5,flying_bird
dragon,2,saw
dragon,5,penguin
dragon,5,monkey
dragon,6,castle
dragon,3,candle
dragon,4,blimp
dragon,5,seagull
dragon,2,race_car
dragon,4,snail
dragon,2,bus
dragon,2,suv
dragon,1,trombone
dragon,4,armor
dragon,5,elephant
dragon,4,ray
dragon,2,truck
dragon,2,trumpet
dragon,4,cow
dragon,3,shoe
dragon,2,key
dragon,3,train
dragon,2,teapot
dragon,5,raccoon
dragon,3,tractor
dragon,3,skyscraper
dragon,5,cannon
dragon,4,fish
dragon,3,rocket
dragon,6,frog
dragon,3,hat
dragon,1,computer_monitor
dragon,3,flying_saucer
dragon,3,ice_cream_cone
dragon,5,giraffe
dragon,3,pretzel
dragon,3,camel
dragon,2,violin
dragon,3,person_sitting
dragon,2,table
dragon,4,hourglass
dragon,3,hotdog
dragon,4,parrot
dragon,2,fan
dragon,2,umbrella
dragon,5,mushroom
dragon,5,dinosaur
dragon,4,tank
dragon,4,potted_plant
dragon,3,tent
dragon,2,rifle
dragon,6,sword
dragon,2,alarm_clock
dragon,3,cloud
dragon,2,pizza
dragon,1,guitar
dragon,4,harp
dragon,5,bee
dragon,2,toilet
dragon,5,ape
dragon,3,sailboat
dragon,1,space_shuttle
dragon,4,windmill
dragon,5,ant
dragon,5,rooster
dragon,5,rainbow
dragon,5,geyser
dragon,3,person
dragon,3,walking
dragon,2,chair
dragon,2,door
dragon,5,panda
dragon,4,bridge
dragon,4,dolphin
dragon,5,spider
dragon,2,megaphone
dragon,6,owl
dragon,5,cactus
dragon,4,bat
dragon,5,wading_bird
dragon,1,screwdriver
dragon,2,hamburger
dragon,2,airplane
dragon,3,chicken
dragon,1,tv
dragon,2,brain
dragon,3,pear
dragon,5,pig
dragon,2,backpack
dragon,5,jellyfish
dragon,2,piano
dragon,1,telephone
dragon,2,bicycle
dragon,2,keyboard
dragon,6,lizard
dragon,1,laptop
dragon,4,hammer
dragon,5,squirrel
dragon,4,duck
dragon,2,couch
dragon,2,satellite_dish
dragon,6,crocodilian
dragon,5,bush
dragon,2,pickup_truck
dragon,2,racket
dragon,6,horse
dragon,3,house
dragon,5,moon
dragon,2,computer_mouse
dragon,2,tomato
dragon,3,bread
dragon,3,carrot
dragon,3,helicopter
dragon,4,deer
dragon,6,lion
dragon,5,axe
dragon,6,scorpion
dragon,3,pineapple
dragon,4,hot_air_balloon
dragon,6,snake
dragon,1,microphone
dragon,3,strawberry
dragon,2,saxophone
dragon,3,hermit_crab
rhinoceros,2,sedan
rhinoceros,5,dragon
rhinoceros,10,rhinoceros
rhinoceros,3,sun
rhinoceros,4,butterfly
