token1,similarity,token2
sedan,10,sedan
sedan,1,dragon
sedan,1,rhinoceros
sedan,1,sun
sedan,0,butterfly
sedan,0,teddy_bear
sedan,0,kangaroo
sedan,1,seal
sedan,1,zebra
sedan,1,spoon
sedan,0,sea_turtle
sedan,1,dog
sedan,0,volcano
sedan,1,tree
sedan,1,cup
sedan,0,palm_tree
sedan,1,bell
sedan,0,microscope
sedan,0,t_shirt
sedan,2,wheelchair
sedan,1,rabbit
sedan,1,radio
sedan,1,church
sedan,0,frying_pan
sedan,1,cat
sedan,0,sponge_bob
sedan,0,songbird
sedan,0,hedgehog
sedan,1,sheep
sedan,1,bench
sedan,0,turtle
sedan,1,apple
sedan,1,satellite
sedan,0, 
sedan,3,beetle
sedan,1,mouse
sedan,1,shark
sedan,1,swan
sedan,1,crab
sedan,2,ship
sedan,0,walkie_talkie
sedan,0,flower
sedan,0,banana
sedan,1,submarine
sedan,0,scissors
sedan,0,starfish
sedan,0,eyeglasses
sedan,1,knife
sedan,0,cell_phone
sedan,0,wine_bottle
sedan,0,jack_o_lantern
sedan,0,octopus
sedan,0,speed_boat
sedan,1,bulldozer
sedan,1,bear
sedan,1,lobster
sedan,1,basket
sedan,2,window
sedan,3,cabin
sedan,0,parachute
sedan,3,motorcycle
sedan,2,pistol
sedan,0,standing_bird
sedan,1,tiger
sedan,0,flying_bird
sedan,1,saw
sedan,0,penguin
sedan,0,monkey
sedan,0,castle
sedan,0,candle
sedan,2,blimp
sedan,1,seagull
sedan,0,race_car
sedan,1,snail
sedan,2,bus
sedan,6,suv
sedan,0,trombone
sedan,1,armor
sedan,1,elephant
sedan,1,ray
sedan,4,truck
sedan,1,trumpet
sedan,1,cow
sedan,1,shoe
sedan,1,key
sedan,2,train
sedan,1,teapot
sedan,0,raccoon
sedan,3,tractor
sedan,1,skyscraper
sedan,1,cannon
sedan,0,fish
sedan,2,rocket
sedan,0,frog
sedan,1,hat
sedan,0,computer_monitor
sedan,0,flying_saucer
sedan,0,ice_cream_cone
sedan,0,giraffe
sedan,0,pretzel
sedan,1,camel
sedan,1,violin
sedan,0,person_sitting
sedan,1,table
sedan,1,hourglass
sedan,0,hotdog
sedan,0,parrot
sedan,1,fan
sedan,1,umbrella
sedan,0,mushroom
sedan,0,dinosaur
sedan,2,tank
sedan,0,potted_plant
sedan,1,tent
sedan,1,rifle
sedan,1,sword
sedan,0,alarm_clock
sedan,1,cloud
sedan,1,pizza
sedan,1,guitar
sedan,0,harp
sedan,1,bee
sedan,1,toilet
sedan,1,ape
sedan,2,sailboat
sedan,0,space_shuttle
sedan,0,windmill
sedan,1,ant
sedan,0,rooster
sedan,0,rainbow
sedan,0,geyser
sedan,1,person
sedan,1,walking
sedan,1,chair
sedan,3,door
sedan,1,panda
sedan,1,bridge
sedan,0,dolphin
sedan,1,spider
sedan,1,megaphone
sedan,0,owl
sedan,0,cactus
sedan,1,bat
sedan,0,wading_bird
sedan,0,screwdriver
sedan,1,hamburger
sedan,2,airplane
sedan,1,chicken
sedan,1,tv
sedan,0,brain
sedan,0,pear
sedan,1,pig
sedan,1,backpack
sedan,0,jellyfish
sedan,1,piano
sedan,0,telephone
sedan,2,bicycle
sedan,1,keyboard
sedan,1,lizard
sedan,1,laptop
sedan,1,hammer
sedan,0,squirrel
sedan,1,duck
sedan,1,couch
sedan,0,satellite_dish
sedan,0,crocodilian
sedan,1,bush
sedan,0,pickup_truck
sedan,2,racket
sedan,1,horse
sedan,1,house
sedan,1,moon
sedan,0,computer_mouse
sedan,0,tomato
sedan,0,bread
sedan,1,carrot
sedan,2,helicopter
sedan,1,deer
sedan,1,lion
sedan,1,axe
sedan,1,scorpion
sedan,0,pineapple
sedan,0,hot_air_balloon
